Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa de Condomínio;Botafogo;4;1;0;120;4500.0;150.0;100.0;37.5;Casa
Casa de Condomínio;Laranjeiras;6;4;0;650;7000.0;1200.0;800.0;10.77;Casa
Casa de Condomínio;Barra da Tijuca;6;5;6;615;20000.0;2000.0;1000.0;32.52;Casa
Casa de Condomínio;Recreio dos Bandeirantes;6;3;6;220;5700.0;1000.0;560.0;25.91;Casa
Casa de Condomínio;Barra da Tijuca;5;3;5;775;25000.0;1750.0;21400.0;32.26;Casa
Casa de Condomínio;Barra da Tijuca;6;6;5;800;18000.0;1000.0;13000.0;22.5;Casa
Casa de Condomínio;Barra da Tijuca;5;0;0;800;22000.0;2400.0;1400.0;27.5;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;423;16000.0;2150.0;1500.0;37.83;Casa
Casa de Condomínio;Barra da Tijuca;4;4;4;800;17000.0;2695.0;0.0;21.25;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;2;4;340;8500.0;500.0;690.0;25.0;Casa
Casa de Condomínio;Barra da Tijuca;5;6;5;680;20000.0;2870.0;1200.0;29.41;Casa
Casa de Condomínio;Vila da Penha;2;1;0;62;800.0;165.0;0.0;12.9;Casa
Casa de Condomínio;Barra da Tijuca;5;3;5;900;25000.0;1415.0;1216.0;27.78;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;550;25000.0;1967.0;1330.0;45.45;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;4;1;200;3000.0;150.0;0.0;15.0;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;315;8000.0;1082.0;820.0;25.4;Casa
Casa de Condomínio;Barra da Tijuca;3;3;2;700;7000.0;2500.0;760.0;10.0;Casa
Casa de Condomínio;Itanhangá;5;3;5;800;10000.0;1500.0;171.0;12.5;Casa
Casa de Condomínio;Barra da Tijuca;6;6;6;964;16000.0;1200.0;2398.0;16.6;Casa
Casa de Condomínio;Barra da Tijuca;5;7;5;780;18000.0;2081.0;1540.0;23.08;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;512;15000.0;1967.0;1400.0;29.3;Casa
Casa de Condomínio;Taquara;5;2;1;325;3000.0;200.0;383.0;9.23;Casa
Casa de Condomínio;Barra da Tijuca;4;8;4;1000;7900.0;1800.0;1400.0;7.9;Casa
